iter	MultiClass
0	2.036795798
1	1.987951338
2	1.944521124
3	1.906549781
4	1.878176923
5	1.849370327
6	1.819829027
7	1.787393947
8	1.768944304
9	1.746172382
10	1.725422203
11	1.700536494
12	1.67415608
13	1.651349946
14	1.631531954
15	1.61123516
16	1.595989929
17	1.577409567
18	1.562625389
19	1.544866251
20	1.529825109
21	1.513232299
22	1.500180994
23	1.48973121
24	1.476938813
25	1.461679003
26	1.449925294
27	1.438164331
28	1.422480843
29	1.414612746
30	1.404759202
31	1.396126107
32	1.383718607
33	1.373464222
34	1.364869303
35	1.356234322
36	1.34714304
37	1.337703974
38	1.329563836
39	1.318703824
40	1.310416547
41	1.301039326
42	1.292492386
43	1.282224962
44	1.274116613
45	1.266976569
46	1.258597219
47	1.247855014
48	1.238039332
49	1.231666653
50	1.221745748
51	1.212775896
52	1.205993438
53	1.198111962
54	1.191384393
55	1.183400928
56	1.176736719
57	1.166362129
58	1.158706503
59	1.150630777
60	1.143439477
61	1.13747199
62	1.131821438
63	1.126103269
64	1.119991926
65	1.11407563
66	1.108045873
67	1.101986785
68	1.096372285
69	1.089744487
70	1.083910909
71	1.076029397
72	1.069663782
73	1.064089404
74	1.057336975
75	1.051669013
76	1.045250826
77	1.04046286
78	1.035359633
79	1.029815446
80	1.023567892
81	1.018536464
82	1.012241199
83	1.007151364
84	1.000917264
85	0.9956902057
86	0.9917009795
87	0.987804472
88	0.9825679557
89	0.9773417637
90	0.9730194259
91	0.9688314883
92	0.9628382447
93	0.9593044
94	0.9543872267
95	0.9485963619
96	0.942408254
97	0.9383902407
98	0.9345179064
99	0.930354517
100	0.9275341047
101	0.9220235585
102	0.9155190995
103	0.9098443502
104	0.9057752414
105	0.901294605
106	0.8990961009
107	0.8938369974
108	0.8908931799
109	0.8864891925
110	0.8826480117
111	0.8789849466
112	0.8765985645
113	0.8723265424
114	0.8673262148
115	0.8647221729
116	0.8597725519
117	0.8558299783
118	0.8517825549
119	0.8489037108
120	0.846257882
121	0.8427627918
122	0.8393543672
123	0.8361413767
124	0.8325342022
125	0.8292228521
126	0.8247690645
127	0.8209498577
128	0.8187394971
129	0.8151102897
130	0.8122307884
131	0.809499169
132	0.8069457376
133	0.8039800123
134	0.8006826054
135	0.7972072776
136	0.793826148
137	0.7909489673
138	0.7856116
139	0.78083368
140	0.7780557553
141	0.7734729143
142	0.7709594455
143	0.7678843833
144	0.7641569163
145	0.7618454899
146	0.7580343746
147	0.7539114637
148	0.7517989311
149	0.7477585131
150	0.7443323978
151	0.7417531703
152	0.7378443874
153	0.7362314393
154	0.7338046655
155	0.7290529107
156	0.7269770233
157	0.7238036439
158	0.7202578471
159	0.7183404784
160	0.7149888887
161	0.7128976241
162	0.7101909761
163	0.707190188
164	0.7032647485
165	0.7000756567
166	0.6968505331
167	0.694822943
168	0.6927240691
169	0.6899887274
170	0.6858286661
171	0.6829729499
172	0.6804985765
173	0.6793701275
174	0.6770839655
175	0.6742614867
176	0.6709873412
177	0.6688401966
178	0.6652330336
179	0.6626413777
180	0.6585663781
181	0.6545801553
182	0.6511157192
183	0.6495488188
184	0.6467219833
185	0.6437712197
186	0.6413640757
187	0.6387251788
188	0.636575562
189	0.633752235
190	0.6314337235
191	0.6294307352
192	0.627496815
193	0.6252080336
194	0.6223432133
195	0.6200042172
196	0.6174928363
197	0.6140727403
198	0.6121824227
199	0.609214808
200	0.6060717435
201	0.6024162892
202	0.5997218864
203	0.5983958398
