iter	Passed	Remaining
0	22	22234
1	41	20668
2	61	20434
3	80	19941
4	98	19681
5	116	19363
6	135	19160
7	153	19021
8	171	18884
9	189	18782
10	207	18700
11	226	18635
12	247	18766
13	265	18704
14	283	18628
15	302	18573
16	325	18816
17	344	18775
18	361	18679
19	379	18619
20	398	18593
21	417	18548
22	438	18613
23	456	18558
24	475	18539
25	493	18501
26	514	18526
27	533	18515
28	551	18482
29	571	18467
30	588	18409
31	607	18364
32	626	18345
33	644	18310
34	662	18277
35	681	18251
36	699	18201
37	717	18173
38	736	18147
39	754	18106
40	772	18068
41	791	18047
42	810	18029
43	831	18061
44	849	18032
45	868	18015
46	887	17987
47	905	17954
48	924	17937
49	942	17912
50	960	17875
51	979	17858
52	998	17842
53	1017	17820
54	1035	17800
55	1055	17791
56	1073	17758
57	1092	17737
58	1110	17718
59	1129	17690
60	1147	17662
61	1166	17644
62	1184	17619
63	1203	17597
64	1222	17583
65	1241	17569
66	1260	17552
67	1279	17536
68	1300	17547
69	1321	17556
70	1341	17548
71	1360	17540
72	1382	17551
73	1401	17539
74	1422	17540
75	1440	17509
76	1459	17497
77	1479	17488
78	1498	17469
79	1517	17450
80	1535	17419
81	1554	17399
82	1572	17378
83	1593	17376
84	1613	17368
85	1633	17356
86	1651	17331
87	1672	17334
88	1693	17337
89	1714	17337
90	1735	17330
91	1754	17320
92	1775	17312
93	1794	17297
94	1812	17269
95	1832	17252
96	1852	17244
97	1872	17236
98	1893	17229
99	1914	17230
100	1934	17221
101	1953	17201
102	1973	17190
103	1994	17183
104	2014	17167
105	2033	17152
106	2054	17143
107	2074	17133
108	2093	17116
109	2114	17105
110	2133	17090
111	2153	17073
112	2172	17057
113	2193	17044
114	2213	17036
115	2233	17024
116	2253	17005
117	2273	16994
118	2294	16989
119	2314	16971
120	2334	16957
121	2354	16941
122	2374	16929
123	2393	16906
124	2412	16889
125	2433	16877
126	2453	16864
127	2473	16853
128	2493	16836
129	2513	16821
130	2532	16802
131	2553	16794
132	2573	16779
133	2593	16760
134	2612	16738
135	2632	16721
136	2651	16702
137	2672	16690
138	2692	16679
139	2715	16679
140	2733	16654
141	2752	16633
142	2772	16615
143	2792	16600
144	2812	16585
145	2832	16570
146	2852	16552
147	2872	16535
148	2891	16515
149	2912	16506
150	2932	16490
151	2952	16470
152	2972	16454
153	2991	16436
154	3010	16414
155	3030	16397
156	3050	16381
157	3070	16365
158	3090	16345
159	3109	16323
160	3130	16312
161	3149	16294
162	3169	16275
163	3189	16256
164	3208	16239
165	3228	16221
166	3247	16197
167	3267	16181
168	3292	16189
169	3311	16169
170	3333	16161
171	3353	16143
172	3373	16124
173	3393	16109
174	3414	16095
175	3434	16078
176	3455	16065
177	3474	16043
178	3492	16017
179	3511	15996
180	3531	15978
181	3551	15960
182	3570	15940
183	3589	15919
184	3609	15903
185	3629	15883
186	3648	15860
187	3668	15846
188	3687	15824
189	3707	15806
190	3727	15788
191	3747	15769
192	3766	15748
193	3786	15731
194	3806	15714
195	3827	15699
196	3846	15676
197	3865	15656
198	3886	15644
199	3909	15636
200	3928	15615
